,slp40,slp65,sam
1982-11-01,1011.77,989.83,21.93999999999994
1982-12-01,1010.18,995.37,14.809999999999945
1983-01-01,1010.12,992.62,17.5
1983-02-01,1018.17,990.13,28.039999999999964
1983-03-01,1015.42,987.1,28.319999999999936
1983-04-01,1014.72,987.48,27.24000000000001
1983-05-01,1013.88,991.85,22.029999999999973
1983-06-01,1014.43,990.43,24.0
1983-07-01,1016.5,985.1,31.399999999999977
1983-08-01,1015.02,985.38,29.639999999999986
1983-09-01,1011.98,982.9,29.08000000000004
1983-10-01,1015.8,979.68,36.120000000000005
1983-11-01,1017.17,981.58,35.58999999999992
1983-12-01,1013.75,984.47,29.279999999999973
1984-01-01,1010.82,992.33,18.49000000000001
1984-02-01,1013.18,987.92,25.25999999999999
1984-03-01,1015.23,985.68,29.550000000000068
1984-04-01,1015.1,987.08,28.019999999999982
1984-05-01,1014.4,991.53,22.870000000000005
1984-06-01,1015.25,990.0,25.25
1984-07-01,1014.17,988.2,25.969999999999914
1984-08-01,1012.98,989.9,23.08000000000004
1984-09-01,1013.17,982.78,30.389999999999986
1984-10-01,1015.18,981.3,33.879999999999995
1984-11-01,1013.97,985.87,28.100000000000023
1984-12-01,1008.83,997.47,11.360000000000014
1985-01-01,1011.03,994.0,17.029999999999973
1985-02-01,1014.55,986.17,28.379999999999995
1985-03-01,1016.05,986.62,29.42999999999995
1985-04-01,1017.45,988.32,29.129999999999995
1985-05-01,1015.85,991.92,23.930000000000064
1985-06-01,1011.93,994.55,17.379999999999995
1985-07-01,1015.35,977.35,38.0
1985-08-01,1016.12,983.5,32.620000000000005
1985-09-01,1014.9,980.98,33.91999999999996
1985-10-01,1015.33,983.22,32.110000000000014
1985-11-01,1014.4,980.18,34.22000000000003
1985-12-01,1014.9,985.1,29.799999999999955
1986-01-01,1013.18,989.13,24.049999999999955
1986-02-01,1012.37,993.98,18.389999999999986
1986-03-01,1016.25,990.55,25.700000000000045
1986-04-01,1013.67,985.07,28.59999999999991
1986-05-01,1012.1,994.37,17.730000000000018
1986-06-01,1012.15,989.3,22.850000000000023
1986-07-01,1012.85,984.0,28.850000000000023
1986-08-01,1017.15,984.55,32.60000000000002
1986-09-01,1016.37,977.07,39.299999999999955
1986-10-01,1012.83,980.2,32.629999999999995
1986-11-01,1013.0,983.02,29.980000000000018
1986-12-01,1013.33,984.62,28.710000000000036
1987-01-01,1010.4,993.33,17.069999999999936
1987-02-01,1012.48,988.5,23.980000000000018
1987-03-01,1013.77,984.62,29.149999999999977
1987-04-01,1015.62,988.02,27.600000000000023
1987-05-01,1013.28,988.7,24.579999999999927
1987-06-01,1013.58,988.9,24.680000000000064
1987-07-01,1015.18,990.95,24.229999999999905
1987-08-01,1015.75,980.28,35.47000000000003
